id,AOI_Name,AOI_Description,Date_Created,Date_Updated,row_number,locode,type,parent_id,region_id,level_id,shape_nbr,AOI_GeoJson_Polygon,geometry
7171,CNJDR anchorage 1, locode: CNJDR FID: 7171,10/21/2020,10/21/2020,,CNJDR,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[116.47795611551726, 23.46195016553411], [116.47450277075473, 23.47272037658072], [116.45378270217968, 23.50291451457475], [116.44526445176548, 23.497636317934763], [116.46091961468886, 23.459204677059265], [116.46644496630887, 23.45392473579612], [116.47795611551726, 23.46195016553411]]]}","POLYGON(( 116.47795611551726 23.46195016553411, 116.47450277075473 23.47272037658072, 116.45378270217968 23.50291451457475, 116.44526445176548 23.497636317934763, 116.46091961468886 23.459204677059265, 116.46644496630887 23.45392473579612, 116.47795611551726 23.46195016553411))"
7164,CNCAN anchorage 1, locode: CNCAN FID: 7164,10/21/2020,10/21/2020,,CNCAN,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[113.46309980422883, 23.076591727398526], [113.46465380937197, 23.08029819267557], [113.45032242860756, 23.083792766356808], [113.44122862073294, 23.08352802910646], [113.44186173393942, 23.078497922301164], [113.44905620219464, 23.07929216220226], [113.46309980422883, 23.076591727398526]]]}","POLYGON(( 113.46309980422883 23.076591727398526, 113.46465380937197 23.08029819267557, 113.45032242860756 23.083792766356808, 113.44122862073294 23.08352802910646, 113.44186173393942 23.078497922301164, 113.44905620219464 23.07929216220226, 113.46309980422883 23.076591727398526))"
7165,CNCAN anchorage 2, locode: CNCAN FID: 7165,10/21/2020,10/21/2020,,CNCAN,ANC,0,9,1,2,"{'type': 'Polygon', 'coordinates': [[[113.4769707390249, 23.070396407368463], [113.50177726556893, 23.052391294085783], [113.50402193966455, 23.054933338453605], [113.49469790880578, 23.061764844835466], [113.48088452975576, 23.07553271855508], [113.4769707390249, 23.070396407368463]]]}","POLYGON(( 113.4769707390249 23.070396407368463, 113.50177726556893 23.052391294085783, 113.50402193966455 23.054933338453605, 113.49469790880578 23.061764844835466, 113.48088452975576 23.07553271855508, 113.4769707390249 23.070396407368463))"
4493,HKHKG anchorage 9, locode: HKHKG FID: 4493,10/21/2020,10/21/2020,,HKHKG,ANC,0,9,1,9,"{'type': 'Polygon', 'coordinates': [[[113.84413763291964, 21.806574426624444], [114.02244272983587, 21.883806958696862], [114.05965718525067, 22.003712057364154], [113.9543044158238, 22.066363449943207], [113.7017797076365, 21.901165791236078], [113.74475883740662, 21.843661128381495], [113.84413763291964, 21.806574426624444]]]}","POLYGON(( 113.84413763291964 21.806574426624444, 114.02244272983587 21.883806958696862, 114.05965718525067 22.003712057364154, 113.9543044158238 22.066363449943207, 113.7017797076365 21.901165791236078, 113.74475883740662 21.843661128381495, 113.84413763291964 21.806574426624444))"
7153,CNSDG anchorage 3, locode: CNSDG FID: 7153,10/21/2020,10/21/2020,,CNSDG,ANC,0,9,1,3,"{'type': 'Polygon', 'coordinates': [[[111.599514788866, 21.358154245651956], [111.3602708438921, 21.39653101044282], [111.19512089809808, 21.13452854922949], [111.5414056109773, 21.090970986581716], [111.599514788866, 21.358154245651956]]]}","POLYGON(( 111.599514788866 21.358154245651956, 111.3602708438921 21.39653101044282, 111.19512089809808 21.13452854922949, 111.5414056109773 21.090970986581716, 111.599514788866 21.358154245651956))"
4440,CNNSA anchorage 1, locode: CNNSA FID: 4440,10/21/2020,10/21/2020,,CNNSA,ANC,0,9,1,1,"{'type': 'Polygon', 'coordinates': [[[113.73111969358845, 22.64622386566555], [113.7176387625409, 22.68280501654022], [113.67555483902925, 22.73338131408513], [113.66638740690254, 22.730550672464123], [113.69485646646172, 22.659336740528122], [113.7108892784117, 22.63920144833464], [113.73111969358845, 22.64622386566555]]]}","POLYGON(( 113.73111969358845 22.64622386566555, 113.7176387625409 22.68280501654022, 113.67555483902925 22.73338131408513, 113.66638740690254 22.730550672464123, 113.69485646646172 22.659336740528122, 113.7108892784117 22.63920144833464, 113.73111969358845 22.64622386566555))"
4488,HKHKG anchorage 2, locode: HKHKG FID: 4488,10/21/2020,10/21/2020,,HKHKG,ANC,0,9,1,2,"{'type': 'Polygon', 'coordinates': [[[114.11699867200002, 22.25052070600003], [114.10626462017416, 22.27338236387708], [114.09133660955676, 22.26675576947187], [114.07594406519001, 22.234511333461672], [114.09067726100011, 22.226709366000023], [114.11699867200002, 22.25052070600003]]]}","POLYGON(( 114.11699867200002 22.25052070600003, 114.10626462017416 22.27338236387708, 114.09133660955676 22.26675576947187, 114.07594406519001 22.234511333461672, 114.09067726100011 22.226709366000023, 114.11699867200002 22.25052070600003))"
4491,HKHKG anchorage 5, locode: HKHKG FID: 4491,10/21/2020,10/21/2020,,HKHKG,ANC,0,9,1,5,"{'type': 'Polygon', 'coordinates': [[[114.18001335877842, 22.190857306802553], [114.11675256808643, 22.196590498907295], [114.09110318148898, 22.214142209028836], [114.07893955271003, 22.184597753946292], [114.0867281513617, 22.147132797554818], [114.18941217833509, 22.146335503588205], [114.18001335877842, 22.190857306802553]]]}","POLYGON(( 114.18001335877842 22.190857306802553, 114.11675256808643 22.196590498907295, 114.09110318148898 22.214142209028836, 114.07893955271003 22.184597753946292, 114.0867281513617 22.147132797554818, 114.18941217833509 22.146335503588205, 114.18001335877842 22.190857306802553))"
5039,ChinaMerchants,ChinaMerchants locode: CNMWN FID: 5039,5/6/2021,5/6/2021,,CNMWN,CTR,1,9,2,1,"{'type': 'Polygon', 'coordinates': [[[113.86901664700008, 22.482881546000044], [113.86578941300002, 22.49215126000007], [113.86470985400001, 22.49175071700006], [113.86781883200001, 22.482606888000078], [113.86901664700008, 22.482881546000044]]]}","POLYGON(( 113.86901664700008 22.482881546000044, 113.86578941300002 22.49215126000007, 113.86470985400001 22.49175071700006, 113.86781883200001 22.482606888000078, 113.86901664700008 22.482881546000044))"
5090,YICT(Phase2),YICT(Phase2) locode: CNYTN FID: 5090,5/6/2021,5/6/2021,,CNYTN,CTR,1,9,2,3,"{'type': 'Polygon', 'coordinates': [[[114.2749881740001, 22.566736221000042], [114.2662258150001, 22.576543808000054], [114.26525688200002, 22.575601578000033], [114.27387046800004, 22.565916061000053], [114.2749881740001, 22.566736221000042]]]}","POLYGON(( 114.2749881740001 22.566736221000042, 114.2662258150001 22.576543808000054, 114.26525688200002 22.575601578000033, 114.27387046800004 22.565916061000053, 114.2749881740001 22.566736221000042))"
5059,ChinaMerchantsPortServices,ChinaMerchantsPortServices locode: CNSHK FID: 5059,5/6/2021,5/6/2021,,CNSHK,CTR,1,9,2,2,"{'type': 'Polygon', 'coordinates': [[[113.90065956100011, 22.467889786000057], [113.89658546400005, 22.468687057000068], [113.89409828200007, 22.466897964000054], [113.89470100400001, 22.466123581000033], [113.89659309400008, 22.467271805000053], [113.89892768900006, 22.464796066000076], [113.90145683300011, 22.466821671000048], [113.90065956100011, 22.467889786000057]]]}","POLYGON(( 113.90065956100011 22.467889786000057, 113.89658546400005 22.468687057000068, 113.89409828200007 22.466897964000054, 113.89470100400001 22.466123581000033, 113.89659309400008 22.467271805000053, 113.89892768900006 22.464796066000076, 113.90145683300011 22.466821671000048, 113.90065956100011 22.467889786000057))"
5034,ZhuhaiInternationalContainerterminal(Gaolan)Ph,ZhuhaiInternationalContainerterminal(Gaolan)Ph locode: CNJMN FID: 5034,5/6/2021,5/6/2021,,CNJMN,CTR,1,9,2,1,"{'type': 'Polygon', 'coordinates': [[[113.22962379500007, 21.941534042000058], [113.22882652300007, 21.94233512900007], [113.22416496300002, 21.93649864200006], [113.22474479700008, 21.93605995200005], [113.22962379500007, 21.941534042000058]]]}","POLYGON(( 113.22962379500007 21.941534042000058, 113.22882652300007 21.94233512900007, 113.22416496300002 21.93649864200006, 113.22474479700008 21.93605995200005, 113.22962379500007 21.941534042000058))"
5020,HuangpuNewPortTerminals,HuangpuNewPortTerminals locode: CNCAN FID: 5020,5/6/2021,5/6/2021,,CNCAN,CTR,3,9,2,2,"{'type': 'Polygon', 'coordinates': [[[113.52275691174613, 23.05100755652702], [113.52228736900008, 23.051479241784236], [113.51884603121658, 23.04787315502898], [113.51947975200005, 23.047494888000074], [113.52275691174613, 23.05100755652702]]]}","POLYGON(( 113.52275691174613 23.05100755652702, 113.52228736900008 23.051479241784236, 113.51884603121658 23.04787315502898, 113.51947975200005 23.047494888000074, 113.52275691174613 23.05100755652702))"
5047,"GOCT(APMT,COSCO)","GOCT(APMT,COSCO) locode: CNNSA FID: 5047",5/6/2021,5/6/2021,,CNNSA,CTR,2,9,2,2,"{'type': 'Polygon', 'coordinates': [[[113.68653596816715, 22.629426801668284], [113.68198585500011, 22.648427963000074], [113.68065071100011, 22.64816856400006], [113.68504442116715, 22.62913688466831], [113.68653596816715, 22.629426801668284]]]}","POLYGON(( 113.68653596816715 22.629426801668284, 113.68198585500011 22.648427963000074, 113.68065071100011 22.64816856400006, 113.68504442116715 22.62913688466831, 113.68653596816715 22.629426801668284))"
5048,NICT,NICT locode: CNNSA FID: 5048,5/6/2021,5/6/2021,,CNNSA,CTR,2,9,2,3,"{'type': 'Polygon', 'coordinates': [[[113.69155906338221, 22.608118946190622], [113.68699836700011, 22.627252002450348], [113.68522834800001, 22.626881976450363], [113.68980048738229, 22.607855731190604], [113.69155906338221, 22.608118946190622]]]}","POLYGON(( 113.69155906338221 22.608118946190622, 113.68699836700011 22.627252002450348, 113.68522834800001 22.626881976450363, 113.68980048738229 22.607855731190604, 113.69155906338221 22.608118946190622))"
5021,ChiwanContainerTerminal,ChiwanContainerTerminal locode: CNCWN FID: 5021,5/6/2021,5/6/2021,,CNCWN,CTR,1,9,2,1,"{'type': 'Polygon', 'coordinates': [[[113.8725681300001, 22.473897934000036], [113.87105751000001, 22.47347831700006], [113.87947273300006, 22.457468033000055], [113.88134193400003, 22.458200455000053], [113.87974739100002, 22.470579147000024], [113.88067436200004, 22.471357346000048], [113.87966346700011, 22.472703934000037], [113.87904167200008, 22.47229957600007], [113.8725681300001, 22.473897934000036]]]}","POLYGON(( 113.8725681300001 22.473897934000036, 113.87105751000001 22.47347831700006, 113.87947273300006 22.457468033000055, 113.88134193400003 22.458200455000053, 113.87974739100002 22.470579147000024, 113.88067436200004 22.471357346000048, 113.87966346700011 22.472703934000037, 113.87904167200008 22.47229957600007, 113.8725681300001 22.473897934000036))"
9582,ShantouPortContainer(Public),ShantouPortContainer(Public) locode: CNSTG FID: 9582,5/6/2021,5/6/2021,,CNSTG,CTR,1,9,2,2,"{'type': 'Polygon', 'coordinates': [[[116.72274117793823, 23.35080248587614], [116.72235218896635, 23.349846298475363], [116.7293790865228, 23.347645889254423], [116.72969278730659, 23.34861361298671], [116.72274117793823, 23.35080248587614]]]}","POLYGON(( 116.72274117793823 23.35080248587614, 116.72235218896635 23.349846298475363, 116.7293790865228 23.347645889254423, 116.72969278730659 23.34861361298671, 116.72274117793823 23.35080248587614))"
8788,DongguanContainerTerminal(PSA),DongguanContainerTerminal(PSA) locode: CNDGG FID: 8788,5/6/2021,5/6/2021,,CNDGG,CTR,1,9,2,2,"{'type': 'Polygon', 'coordinates': [[[113.57240706312707, 22.866774219786283], [113.57094935766868, 22.86686302277897], [113.57331059956822, 22.860299770230654], [113.57455145628072, 22.860799310111453], [113.57240706312707, 22.866774219786283]]]}","POLYGON(( 113.57240706312707 22.866774219786283, 113.57094935766868 22.86686302277897, 113.57331059956822 22.860299770230654, 113.57455145628072 22.860799310111453, 113.57240706312707 22.866774219786283))"
